cod_representante,cod_cliente,cod_persona,num_telefono,correo_empresarial,cargo
84,7,122,942130134,diana.vargas@makro.com,Gerente de recursos humanos
85,1,145,998528512,cristhian.rojas@sanfernando.com,Gerente de producción
86,3,801,957834050,jose.fernandez@tottus.com,Gerente de recursos humanos
87,2,979,900081594,pedro.castillo@sanfernando.com,Gerente de producción
88,2,776,968914803,jose.fernandez@wongymetro.com,Gerente de logística
89,7,741,902601659,maria.diaz@sanfernando.com,Gerente de producción
90,4,988,944732454,jose.rodriguez@sanfernando.com,Gerente de producción
91,11,521,942316842,cristhian.gonzalez@sanfernando.com,Gerente de logística
92,4,921,993555901,luis.perez@sanfernando.com,Gerente de recursos humanos
93,8,488,939883290,juan.huaman@sanfernando.com,Gerente de logística
94,1,499,956005996,carlos.gonzalez@bodega:mass.com,Gerente de recursos humanos
95,6,101,935264029,julio.gomez@sanfernando.com,Gerente de almacen
96,9,473,975437260,carlos.vargas@sanfernando.com,Gerente de almacen
97,6,262,983947653,luis.lopez@bodega:mass.com,Gerente de recursos humanos
98,3,896,993222417,carlos.huaman@tottus.com,Gerente de producción
99,10,56,970457008,maria.gomez@sanfernando.com,Gerente de almacen
100,7,457,926944121,cristhian.ruiz@sanfernando.com,Gerente de producción
101,10,4,965268750,diego.lopez@sanfernando.com,Gerente de producción
102,3,592,920703010,diego.rojas@bodega:mass.com,Gerente de almacen
103,10,580,976252137,julio.rodriguez@plazaveayvivanda.com,Gerente de logística
104,11,487,926570920,ana.huaman@bodega:mass.com,Gerente de producción
105,10,60,948306598,maria.rojas@sanfernando.com,Gerente de logística
106,9,458,912605279,jose.lopez@sanfernando.com,Gerente de almacen
107,11,494,992572162,cristhian.vargas@tottus.com,Gerente de logística
108,1,441,924051246,luis.gonzalez@sanfernando.com,Gerente de recursos humanos
109,9,186,935549302,leonardo.martinez@makro.com,Gerente de recursos humanos
110,11,739,965896540,diana.gomez@plazaveayvivanda.com,Gerente de recursos humanos
111,6,792,919499799,pedro.diaz@sanfernando.com,Gerente de recursos humanos
112,11,802,954783679,leonardo.perez@makro.com,Gerente de almacen
113,3,322,973193940,cristhian.vargas@plazaveayvivanda.com,Gerente de logística
114,5,260,981314294,diana.martinez@wongymetro.com,Gerente de logística
115,9,388,941588253,ana.mamano@plazaveayvivanda.com,Gerente de almacen
116,4,928,907460200,cristhian.castillo@sanfernando.com,Gerente de recursos humanos
117,1,24,903231253,maria.gonzalez@bodega:mass.com,Gerente de almacen
118,2,62,970203026,leonardo.lopez@sanfernando.com,Gerente de almacen
119,1,382,975137638,elena.diaz@sanfernando.com,Gerente de producción
120,8,203,906175791,leonardo.diaz@sanfernando.com,Gerente de producción
121,7,718,964650943,diego.cárdenas@tottus.com,Gerente de producción
122,11,551,905373901,elena.gomez@sanfernando.com,Gerente de logística
123,1,789,906381167,julio.gomez@makro.com,Gerente de almacen
124,3,562,950285779,diego.mamano@sanfernando.com,Gerente de recursos humanos
125,10,656,995355830,maria.gomez@wongymetro.com,Gerente de producción
126,3,204,960708987,jose.huaman@sanfernando.com,Gerente de producción
127,6,124,929791742,maria.huaman@tottus.com,Gerente de producción
128,7,407,931609221,luis.rodriguez@wongymetro.com,Gerente de almacen
129,7,59,903696585,julio.martinez@plazaveayvivanda.com,Gerente de almacen
130,9,277,906402471,leonardo.gonzalez@makro.com,Gerente de recursos humanos
131,6,689,978195692,maria.mamano@plazaveayvivanda.com,Gerente de producción
132,9,585,930560939,diego.rojas@plazaveayvivanda.com,Gerente de logística
133,6,880,939591967,cristhian.mamano@makro.com,Gerente de almacen
134,9,140,952179111,ana.rojas@plazaveayvivanda.com,Gerente de recursos humanos
135,5,16,987273329,carlos.rodriguez@plazaveayvivanda.com,Gerente de recursos humanos
136,3,149,947814026,carlos.mamano@sanfernando.com,Gerente de producción
137,3,890,985055132,fernando.ruiz@sanfernando.com,Gerente de logística
138,4,446,913620324,luis.diaz@bodega:mass.com,Gerente de producción
139,3,759,924047143,leonardo.lopez@sanfernando.com,Gerente de producción
140,11,472,910652388,fernando.gonzalez@wongymetro.com,Gerente de logística
141,4,428,935840103,ana.vargas@wongymetro.com,Gerente de recursos humanos
142,2,490,901795056,diana.rojas@sanfernando.com,Gerente de almacen
143,4,821,906068399,cristhian.gomez@plazaveayvivanda.com,Gerente de recursos humanos
144,8,161,996750510,ana.perez@sanfernando.com,Gerente de almacen
145,5,717,935525683,jose.mamano@sanfernando.com,Gerente de recursos humanos
146,8,41,968363411,jose.ruiz@makro.com,Gerente de producción
147,6,853,906160627,ana.ruiz@sanfernando.com,Gerente de recursos humanos
148,11,199,905926904,elena.gomez@sanfernando.com,Gerente de recursos humanos
149,3,336,935635263,elena.gomez@sanfernando.com,Gerente de almacen
150,8,251,994107386,julio.lopez@sanfernando.com,Gerente de producción
151,6,804,953527694,jose.perez@sanfernando.com,Gerente de logística
152,3,313,977534241,elena.castillo@wongymetro.com,Gerente de producción
153,8,640,979171584,maria.rodriguez@sanfernando.com,Gerente de producción
154,10,98,946036375,diego.fernandez@sanfernando.com,Gerente de logística
155,10,962,909206297,julio.mamano@tottus.com,Gerente de producción
156,3,349,988107868,diana.huaman@plazaveayvivanda.com,Gerente de logística
157,7,375,939821531,julio.vargas@plazaveayvivanda.com,Gerente de logística
158,3,88,943815764,diana.rojas@tottus.com,Gerente de almacen
159,3,557,901212244,diana.cárdenas@sanfernando.com,Gerente de almacen
160,10,583,953893057,cristhian.martinez@sanfernando.com,Gerente de producción
161,4,907,917149461,jose.mamano@makro.com,Gerente de recursos humanos
162,1,591,986236720,jose.martinez@sanfernando.com,Gerente de producción
163,8,871,909572950,diana.ruiz@bodega:mass.com,Gerente de producción
164,10,178,982122805,alex.lopez@wongymetro.com,Gerente de producción
165,3,775,976032351,alex.fernandez@wongymetro.com,Gerente de recursos humanos
166,7,632,943852565,elena.martinez@sanfernando.com,Gerente de logística
167,4,748,972653624,jose.lopez@sanfernando.com,Gerente de recursos humanos
168,7,285,959783504,ana.lopez@bodega:mass.com,Gerente de recursos humanos
169,5,281,912966711,cristhian.huaman@makro.com,Gerente de producción
170,1,292,938952879,julio.perez@wongymetro.com,Gerente de almacen
171,3,749,917392264,pedro.fernandez@wongymetro.com,Gerente de producción
172,7,725,997275521,alex.rojas@makro.com,Gerente de almacen
173,3,327,903168168,juan.gomez@sanfernando.com,Gerente de producción
174,8,620,957984879,pedro.perez@wongymetro.com,Gerente de almacen
175,6,125,935926908,maria.rodriguez@sanfernando.com,Gerente de logística
176,4,663,967177075,elena.lopez@sanfernando.com,Gerente de recursos humanos
177,1,646,989413205,diana.vargas@sanfernando.com,Gerente de almacen
178,9,550,984418668,cristhian.martinez@plazaveayvivanda.com,Gerente de producción
179,1,106,985411340,juan.ruiz@makro.com,Gerente de producción
180,2,625,959048243,juan.gomez@sanfernando.com,Gerente de almacen
181,6,803,994781439,alex.huaman@plazaveayvivanda.com,Gerente de producción
182,11,692,932030577,alex.gonzalez@bodega:mass.com,Gerente de almacen
183,6,579,956906579,maria.fernandez@sanfernando.com,Gerente de almacen
184,11,195,955112038,luis.diaz@sanfernando.com,Gerente de recursos humanos
185,7,130,915795078,luis.perez@sanfernando.com,Gerente de recursos humanos
186,11,185,966495180,cristhian.ruiz@plazaveayvivanda.com,Gerente de logística
187,8,963,915348155,diego.mamano@plazaveayvivanda.com,Gerente de almacen
188,8,480,962966555,carlos.mamano@makro.com,Gerente de almacen
189,8,769,962913694,julio.lopez@sanfernando.com,Gerente de logística
190,3,761,901294391,carlos.perez@tottus.com,Gerente de producción
191,3,315,962019185,julio.gonzalez@plazaveayvivanda.com,Gerente de recursos humanos
192,1,286,900511627,ana.lopez@sanfernando.com,Gerente de producción
193,10,110,910324684,fernando.rojas@sanfernando.com,Gerente de almacen
194,7,454,973965780,ana.martinez@tottus.com,Gerente de almacen
195,4,919,986258731,carlos.fernandez@tottus.com,Gerente de producción
196,10,432,976367369,juan.gomez@sanfernando.com,Gerente de producción
197,9,848,954806769,diego.martinez@makro.com,Gerente de recursos humanos
198,1,152,902943954,cristhian.gonzalez@sanfernando.com,Gerente de almacen
199,11,30,903687459,elena.gomez@sanfernando.com,Gerente de producción
200,2,39,954678136,juan.ruiz@wongymetro.com,Gerente de recursos humanos
201,2,208,931557454,diego.lopez@bodega:mass.com,Gerente de producción
202,3,393,961583611,jose.martinez@sanfernando.com,Gerente de recursos humanos
203,6,831,946583978,maria.rojas@sanfernando.com,Gerente de producción
204,1,74,915493770,juan.ruiz@sanfernando.com,Gerente de almacen
205,3,511,901793306,maria.gomez@makro.com,Gerente de producción
206,6,217,990368758,carlos.vargas@makro.com,Gerente de producción
207,5,503,973513699,jose.mamano@sanfernando.com,Gerente de almacen
208,8,908,935253947,fernando.cárdenas@sanfernando.com,Gerente de logística
209,9,253,914716396,fernando.perez@tottus.com,Gerente de recursos humanos
210,3,225,937047714,julio.vargas@sanfernando.com,Gerente de almacen
211,5,54,952067895,luis.perez@sanfernando.com,Gerente de almacen
212,6,198,978329268,luis.gonzalez@bodega:mass.com,Gerente de producción
213,3,994,918176735,julio.rojas@tottus.com,Gerente de almacen
214,7,227,987612011,julio.lopez@tottus.com,Gerente de recursos humanos
215,3,634,985806368,maria.lopez@sanfernando.com,Gerente de producción
216,5,117,968588971,jose.diaz@sanfernando.com,Gerente de recursos humanos
217,11,675,901003892,juan.mamano@sanfernando.com,Gerente de producción
218,3,548,992065427,jose.lopez@sanfernando.com,Gerente de producción
219,3,397,978998195,maria.martinez@bodega:mass.com,Gerente de producción
220,10,174,977930909,luis.vargas@plazaveayvivanda.com,Gerente de logística
221,1,274,968618529,jose.vargas@bodega:mass.com,Gerente de producción
222,2,859,997868363,leonardo.rodriguez@sanfernando.com,Gerente de recursos humanos
223,9,876,984706022,elena.martinez@plazaveayvivanda.com,Gerente de producción
224,9,410,931517959,leonardo.rojas@sanfernando.com,Gerente de producción
225,8,316,913262816,leonardo.mamano@sanfernando.com,Gerente de producción
226,10,763,963858022,jose.ruiz@sanfernando.com,Gerente de producción
227,10,699,955693415,pedro.rodriguez@bodega:mass.com,Gerente de producción
228,8,261,915554494,elena.castillo@sanfernando.com,Gerente de recursos humanos
229,10,850,980737643,fernando.vargas@wongymetro.com,Gerente de producción
230,1,846,993725396,elena.cárdenas@plazaveayvivanda.com,Gerente de almacen
231,10,123,959140050,diego.martinez@plazaveayvivanda.com,Gerente de recursos humanos
232,8,507,926148252,diego.huaman@tottus.com,Gerente de recursos humanos
233,7,142,932856520,julio.lopez@tottus.com,Gerente de producción
234,2,405,996020329,elena.vargas@plazaveayvivanda.com,Gerente de producción
235,7,265,917639551,carlos.fernandez@bodega:mass.com,Gerente de recursos humanos
236,5,8,916859207,leonardo.mamano@bodega:mass.com,Gerente de producción
237,4,565,925765639,elena.rodriguez@sanfernando.com,Gerente de producción
238,11,523,959879590,jose.castillo@bodega:mass.com,Gerente de producción
239,7,574,922286146,cristhian.castillo@tottus.com,Gerente de producción
240,4,440,999193569,julio.ruiz@plazaveayvivanda.com,Gerente de logística
241,7,133,968991912,pedro.fernandez@sanfernando.com,Gerente de producción
242,7,834,931638736,carlos.huaman@tottus.com,Gerente de recursos humanos
243,6,269,978002932,diego.cárdenas@sanfernando.com,Gerente de almacen
244,11,468,961734715,luis.castillo@plazaveayvivanda.com,Gerente de producción
245,4,500,919013330,maria.fernandez@sanfernando.com,Gerente de producción
246,7,978,914423081,pedro.martinez@tottus.com,Gerente de recursos humanos
247,3,657,980377877,fernando.cárdenas@sanfernando.com,Gerente de producción
248,8,234,989738047,fernando.martinez@bodega:mass.com,Gerente de recursos humanos
249,6,687,972974146,elena.gomez@tottus.com,Gerente de producción
250,1,586,990383897,juan.huaman@makro.com,Gerente de producción
251,10,799,982207706,carlos.huaman@sanfernando.com,Gerente de producción
252,5,982,948150498,ana.huaman@wongymetro.com,Gerente de producción
253,1,674,911568089,leonardo.mamano@tottus.com,Gerente de producción
254,7,111,968626618,alex.castillo@sanfernando.com,Gerente de logística
255,7,290,993458215,elena.vargas@plazaveayvivanda.com,Gerente de producción
256,5,267,963860106,fernando.huaman@sanfernando.com,Gerente de producción
257,11,606,927337012,elena.huaman@sanfernando.com,Gerente de logística
258,9,734,932966513,diana.rojas@wongymetro.com,Gerente de producción
259,3,415,921666369,alex.gomez@plazaveayvivanda.com,Gerente de producción
260,11,17,963151517,jose.ruiz@wongymetro.com,Gerente de recursos humanos
261,5,989,908782709,juan.fernandez@sanfernando.com,Gerente de almacen
262,1,165,972715596,julio.perez@sanfernando.com,Gerente de producción
263,1,222,908713142,leonardo.castillo@sanfernando.com,Gerente de logística
264,3,530,931802788,julio.castillo@sanfernando.com,Gerente de producción
265,5,972,992828247,juan.mamano@sanfernando.com,Gerente de producción
266,4,413,976012109,luis.lopez@sanfernando.com,Gerente de producción
267,8,914,997102117,diana.martinez@sanfernando.com,Gerente de almacen
268,8,470,904856368,luis.martinez@plazaveayvivanda.com,Gerente de logística
269,10,456,962373967,cristhian.huaman@sanfernando.com,Gerente de producción
270,6,633,936719467,diana.ruiz@sanfernando.com,Gerente de producción
271,7,541,908587985,cristhian.rodriguez@sanfernando.com,Gerente de producción
272,9,77,957939552,jose.fernandez@wongymetro.com,Gerente de producción
273,4,629,920250341,diego.lopez@makro.com,Gerente de logística
274,9,552,965443873,fernando.castillo@wongymetro.com,Gerente de almacen
275,9,950,992259634,alex.rodriguez@sanfernando.com,Gerente de logística
276,8,883,919919393,diana.gonzalez@bodega:mass.com,Gerente de logística
277,10,818,934349694,julio.lopez@tottus.com,Gerente de recursos humanos
278,10,334,973766738,diana.gonzalez@sanfernando.com,Gerente de almacen
279,9,998,912187244,julio.lopez@sanfernando.com,Gerente de logística
280,9,230,927625123,fernando.castillo@sanfernando.com,Gerente de producción
281,8,543,979281550,ana.perez@plazaveayvivanda.com,Gerente de producción
282,1,990,982647271,cristhian.perez@sanfernando.com,Gerente de recursos humanos
283,10,373,908186069,alex.mamano@sanfernando.com,Gerente de producción
284,1,368,984123260,elena.diaz@makro.com,Gerente de almacen
285,4,196,973632697,diana.gomez@sanfernando.com,Gerente de producción
286,5,643,901660791,leonardo.lopez@makro.com,Gerente de logística
287,10,702,967513405,jose.vargas@plazaveayvivanda.com,Gerente de almacen
288,10,191,979115771,jose.cárdenas@sanfernando.com,Gerente de logística
289,2,102,904536018,jose.martinez@tottus.com,Gerente de producción
290,8,400,967420322,fernando.gomez@wongymetro.com,Gerente de producción
291,9,664,947483786,leonardo.gonzalez@makro.com,Gerente de almacen
292,3,272,903624556,luis.rodriguez@sanfernando.com,Gerente de recursos humanos
293,9,612,991574514,cristhian.diaz@sanfernando.com,Gerente de recursos humanos
294,8,767,963375340,luis.perez@bodega:mass.com,Gerente de logística
295,9,325,985817130,pedro.perez@wongymetro.com,Gerente de producción
296,7,357,916326825,diana.rojas@plazaveayvivanda.com,Gerente de producción
297,9,600,985062366,leonardo.rojas@makro.com,Gerente de logística
298,11,374,923665552,luis.rodriguez@tottus.com,Gerente de producción
299,8,166,985267323,alex.perez@tottus.com,Gerente de recursos humanos
300,3,335,905125290,luis.lopez@makro.com,Gerente de recursos humanos
301,8,532,908084357,cristhian.gonzalez@plazaveayvivanda.com,Gerente de recursos humanos
302,8,132,917980408,cristhian.vargas@bodega:mass.com,Gerente de almacen
303,6,29,965072157,carlos.perez@bodega:mass.com,Gerente de logística
304,1,618,950605107,fernando.martinez@tottus.com,Gerente de recursos humanos
305,3,32,988999180,diego.castillo@wongymetro.com,Gerente de logística
306,2,754,948597148,jose.rodriguez@sanfernando.com,Gerente de logística
307,7,246,922597037,leonardo.vargas@bodega:mass.com,Gerente de recursos humanos
308,3,28,927310940,julio.rojas@plazaveayvivanda.com,Gerente de producción
309,7,737,907624046,maria.rodriguez@sanfernando.com,Gerente de logística
310,11,423,986610368,ana.rodriguez@makro.com,Gerente de recursos humanos
311,1,843,982322116,maria.gomez@sanfernando.com,Gerente de almacen
312,1,814,942014703,elena.rodriguez@sanfernando.com,Gerente de producción
313,10,714,972015850,pedro.vargas@makro.com,Gerente de recursos humanos
314,7,833,922549948,juan.ruiz@makro.com,Gerente de almacen
315,4,757,967211169,diego.perez@bodega:mass.com,Gerente de producción
316,2,452,932265419,jose.mamano@sanfernando.com,Gerente de logística
317,9,947,994546210,alex.gonzalez@sanfernando.com,Gerente de producción
318,3,396,947986920,pedro.huaman@wongymetro.com,Gerente de almacen
319,8,362,954861241,alex.rodriguez@bodega:mass.com,Gerente de recursos humanos
320,5,242,919542676,diego.gomez@plazaveayvivanda.com,Gerente de producción
321,2,64,911828799,alex.castillo@sanfernando.com,Gerente de almacen
322,3,84,959103503,alex.lopez@makro.com,Gerente de logística
323,1,259,955701735,pedro.diaz@sanfernando.com,Gerente de producción
324,11,964,989191226,leonardo.gomez@tottus.com,Gerente de almacen
325,4,560,952603665,carlos.rodriguez@sanfernando.com,Gerente de recursos humanos
326,4,291,919800457,alex.rojas@sanfernando.com,Gerente de almacen
327,10,558,963168226,maria.diaz@sanfernando.com,Gerente de producción
328,7,935,918014220,jose.rodriguez@makro.com,Gerente de almacen
329,5,567,996122391,pedro.fernandez@makro.com,Gerente de logística
330,5,173,999011504,ana.castillo@makro.com,Gerente de logística
331,10,959,912479001,ana.lopez@tottus.com,Gerente de producción
332,1,10,953646521,alex.lopez@bodega:mass.com,Gerente de logística
333,5,144,986626244,elena.castillo@sanfernando.com,Gerente de recursos humanos
334,6,151,934809010,maria.castillo@tottus.com,Gerente de producción
335,10,920,946953155,ana.diaz@sanfernando.com,Gerente de logística
336,10,823,923567323,julio.castillo@plazaveayvivanda.com,Gerente de logística
337,3,753,998564490,fernando.gomez@sanfernando.com,Gerente de producción
338,9,71,940580356,elena.ruiz@sanfernando.com,Gerente de logística
339,9,194,924668121,luis.perez@sanfernando.com,Gerente de producción
340,1,582,932468407,leonardo.castillo@sanfernando.com,Gerente de recursos humanos
341,4,599,916091447,elena.mamano@sanfernando.com,Gerente de producción
342,1,75,910965150,alex.lopez@bodega:mass.com,Gerente de recursos humanos
343,1,636,972587009,jose.vargas@tottus.com,Gerente de producción
344,5,37,947777127,diana.vargas@sanfernando.com,Gerente de producción
345,7,369,916928746,luis.perez@sanfernando.com,Gerente de almacen
346,9,960,952073238,luis.perez@plazaveayvivanda.com,Gerente de recursos humanos
347,8,743,940097407,julio.perez@makro.com,Gerente de almacen
348,8,854,954665073,juan.cárdenas@sanfernando.com,Gerente de producción
349,5,672,935210047,alex.diaz@wongymetro.com,Gerente de recursos humanos
350,11,206,947792460,alex.rodriguez@wongymetro.com,Gerente de recursos humanos
351,10,450,904232184,jose.fernandez@sanfernando.com,Gerente de producción
352,9,980,942859444,carlos.castillo@bodega:mass.com,Gerente de almacen
353,6,427,956911368,alex.vargas@bodega:mass.com,Gerente de producción
354,3,878,981475583,cristhian.rojas@tottus.com,Gerente de producción
355,6,359,939653644,diana.lopez@sanfernando.com,Gerente de producción
356,1,546,944060829,carlos.perez@tottus.com,Gerente de logística
357,2,268,995702275,carlos.castillo@wongymetro.com,Gerente de logística
358,9,341,983172764,elena.diaz@tottus.com,Gerente de producción
359,4,976,924162635,ana.diaz@makro.com,Gerente de almacen
360,4,688,945559636,cristhian.diaz@bodega:mass.com,Gerente de recursos humanos
361,6,318,992383290,ana.lopez@sanfernando.com,Gerente de producción
362,10,711,940242367,julio.gonzalez@sanfernando.com,Gerente de producción
363,6,598,944553200,alex.gonzalez@bodega:mass.com,Gerente de producción
364,7,997,932260886,carlos.perez@sanfernando.com,Gerente de almacen
365,10,284,939093572,leonardo.rojas@sanfernando.com,Gerente de logística
366,10,894,947427799,fernando.gonzalez@makro.com,Gerente de logística
367,1,245,934082691,maria.martinez@tottus.com,Gerente de producción
368,10,967,925762342,fernando.lopez@sanfernando.com,Gerente de producción
369,10,685,998403174,leonardo.diaz@sanfernando.com,Gerente de almacen
370,2,449,964577880,juan.gonzalez@sanfernando.com,Gerente de almacen
371,4,49,952585488,jose.diaz@makro.com,Gerente de almacen
372,1,556,979587936,jose.rojas@sanfernando.com,Gerente de producción
373,4,294,909749832,juan.mamano@tottus.com,Gerente de producción
374,3,877,983988936,leonardo.castillo@plazaveayvivanda.com,Gerente de almacen
375,3,819,943287879,jose.castillo@bodega:mass.com,Gerente de almacen
376,9,411,972659283,maria.fernandez@plazaveayvivanda.com,Gerente de logística
377,9,697,900809191,jose.perez@sanfernando.com,Gerente de recursos humanos
378,9,21,973008447,diego.rojas@sanfernando.com,Gerente de almacen
379,9,73,907290616,ana.rojas@wongymetro.com,Gerente de logística
380,5,250,974258163,cristhian.ruiz@sanfernando.com,Gerente de producción
381,3,92,945326280,luis.rojas@tottus.com,Gerente de logística
382,7,323,963993942,cristhian.rodriguez@plazaveayvivanda.com,Gerente de logística
383,3,729,962886577,leonardo.martinez@sanfernando.com,Gerente de producción
384,4,46,995791432,jose.fernandez@sanfernando.com,Gerente de producción
385,4,957,945997710,leonardo.ruiz@sanfernando.com,Gerente de logística
386,3,258,992829382,elena.lopez@sanfernando.com,Gerente de recursos humanos
387,7,555,940371863,jose.perez@sanfernando.com,Gerente de logística
388,7,667,911017758,diego.cárdenas@tottus.com,Gerente de recursos humanos
389,2,422,954852599,diego.ruiz@sanfernando.com,Gerente de recursos humanos
390,11,509,927732883,luis.lopez@tottus.com,Gerente de recursos humanos
391,3,116,982738859,ana.mamano@sanfernando.com,Gerente de almacen
392,4,778,999283033,leonardo.fernandez@sanfernando.com,Gerente de recursos humanos
393,8,320,975789379,diana.fernandez@bodega:mass.com,Gerente de producción
394,11,496,957516308,carlos.vargas@sanfernando.com,Gerente de logística
395,1,813,939468190,luis.martinez@plazaveayvivanda.com,Gerente de almacen
396,8,654,963336810,julio.martinez@sanfernando.com,Gerente de recursos humanos
397,1,794,931788076,maria.gonzalez@sanfernando.com,Gerente de producción
398,10,519,905468220,carlos.gonzalez@sanfernando.com,Gerente de producción
